Page/Component,Element Type,Label/Text,URL/Action,Status,Notes
Homepage,Navigation Link,Features,/features,Works,Main nav
Homepage,Navigation Link,Docs,/docs,Works,Main nav
Homepage,Navigation Link,Tutorials,/tutorials,Works,Main nav
Homepage,Navigation Link,Community,/community,Works,Main nav
Homepage,Navigation Link,Support,/support,Works,Main nav
Homepage,Navigation Link,Status,/status,Works,Main nav
Homepage,Navigation Link,Wonder Build,/wonder-build,Works,Requires auth
Homepage,Navigation Link,PlayCanvas Studio,/wonder-build/playcanvas,Works,Requires auth
Homepage,Navigation Link,WonderSpace,/wonderspace,Works,Main nav
Homepage,Interactive Signpost,Documentation,this way -> /docs,Works,Visual interactive element
Homepage,Interactive Signpost,Tutorials,That way -> /tutorials,Works,Visual interactive element
Homepage,Interactive Signpost,Community,wrong way -> /community,Works,Visual interactive element
Homepage,Interactive Signpost,Features,tea party -> /features,Works,Visual interactive element
Homepage,Interactive Signpost,WebGL Studio,down here -> /wonder-build/playcanvas,Works,Visual interactive element
Homepage,Interactive Signpost,WonderSpace IDE,yonder -> /wonderspace,Works,Visual interactive element
Homepage,Interactive Signpost,Dashboard,go back -> /dashboard,Works,Visual interactive element
Homepage Navbar,Menu Button,Menu Icon,,Works,Hamburger menu toggle
Homepage Navbar,Menu Button,Expanded Category Toggle,,Works,Dropdown toggle
Homepage Navbar,Link,Dashboard Projects,/dashboard/projects,Works,Authenticated user link
Homepage Navbar,Button,Sign Out,,Works,Sign out action
Homepage Navbar,Link,Sign In,/public-pages/auth,Works,Guest user link
Homepage Navbar,Link,Sign Up,/public-pages/auth?signup=true,Works,Guest user link
WonderPlay Page,Pod Launcher Form,Pod Name input,,Works,Pod creation form
WonderPlay Page,Pod Launcher Form,CPU selector (1-4),,Works,Resource selection
WonderPlay Page,Pod Launcher Form,Memory selector (2-8 GB),,Works,Resource selection
WonderPlay Page,Pod Launcher Form,Provision button,,Works,Form submission
WonderPlay Page,Pod Launcher Form,Back to WonderBuild link,,Works,Navigation
WonderSpace Page,Mode Selector,Wonderspace/Component/Website/Game radio buttons,,Works,Build mode selection
WonderSpace Page,Prompt Input,Textarea for AI prompt,,Works,AI input field
WonderSpace Page,Save to Runner checkbox,Save output to runner,,Works,Persistence option
WonderSpace Page,Run Build button,Build triggered,,Works,Main action button
WonderSpace Page,Agent Status Display,Architect/Builder/Reviewer/Runner status,,Works,Progress indicators
WonderSpace Page,Code/Plan Display,Generated code/plan display,, Works,Output display
WonderSpace Page,Save Path display,Saved file path display,, Works,File output indicator
Builder Page,Auto-redirect to /wonder-build/builder,,works,Redirects to new builder
AI Modules Page,Tab Selector,Explorer/Training tabs,,Works,Tab navigation
AI Modules Page,Category Filter,All/Chat/code/agent/data/vision/training dropdown,,Works,Filter options
AI Modules Page,Search Input,Search modules,,Works,Search functionality
AI Modules Page,API Key Modal,Open BYOK modal,, Works,Authentication
AI Modules Page,API Key Input,Enter API key,, Works,Credential input
AI Modules Page,Connect Button,Connect to external service,, Works,Authentication action
Footer,Link,Twitter,https://twitter.com/aiwonderland,Works,External link
Footer,Link,GitHub,https://github.com/aiwonderland,Works,External link
Footer,Link,Discord,https://discord.gg/aiwonderland,Works,External link
Footer,Link,WonderBuild,/wonder-build/agent,Works,Internal link
Footer,Link,Playground,https://playground.dreammakerhub.website/,Works,External link (AI Playground)
